"1","1000.0","","2_1781766142949_q89ll7p7av","","10.0","0","2026-06-18 12:32:23.039817","1.0","1","2"
"2","1000.0","","2_1781766247157_nrv795umy3m","","0.0","0","2026-06-18 12:34:07.226477","0.0","1","2"
"3","1000.0","","1_1781767408477_j5ifv5dasoi","","10.0","0","2026-06-18 12:53:28.545679","2.0","2","1"
"4","100.0","","1_1781773662215_qzgzb82vav","","0.0","0","2026-06-18 14:37:42.355364","1.0","2","1"
"5","100.0","","1_1781774246790_u3rhtz7w2rk","","0.0","0","2026-06-18 14:47:26.916221","1.0","2","1"
"6","100.0","","1_1781774360886_kfxxyjav7k","","0.0","0","2026-06-18 14:49:21.015571","3.0","2","1"
"7","1000.0","","2_1781957949393_xzsuf8txk5g","","10.0","0","2026-06-20 17:49:09.473191","1.0","1","2"
"8","1000.0","","2_1782099482489_rf6vr8xges","","10.0","0","2026-06-22 09:08:02.584814","1.0","1","2"
"9","1000.0","","1_1782100064455_wvjjb22psno","","10.0","0","2026-06-22 09:17:44.526654","1.0","2","1"
"10","1000.0","Account of usercom.training.mts.model.VPA@7ef2b526 is not active","1_1782105097572_lgeikwkjuh","","0.0","1","2026-06-22 10:41:37.612500","","2","1"
"11","1000.0","","1_1782105186018_t2oxzkwfg2r","","10.0","0","2026-06-22 10:43:06.112002","1.0","4","1"
"12","1000.0","","1_1782108702104_isajj91qwh","","0.0","0","2026-06-22 11:41:42.201394","1.0","2","1"
"13","9.0","","2_1782109411722_m4qs924hlch","","0.0","0","2026-06-22 11:53:31.808846","1.0","2","2"
"14","100.5","","2_1782109588565_nosac7zaa6","","0.0","0","2026-06-22 11:56:28.703524","1.0","1","2"
"15","1000.0","","2_1782126498344_gg1oh9s72ar","","10.0","0","2026-06-22 16:38:18.455528","1.0","5","2"
"16","100000.0","Insufficient balance","6_1782127844604_074mp8gxd3hr","","","1","2026-06-22 17:00:44.681414","","4","6"
"17","600.0","","6_1782127853364_b1al8s26ruf","random","6.0","0","2026-06-22 17:00:53.438408","2.0","4","6"
